Day	Time	Location	Class	Trainer	Notes
Wednesday	7:15 PM	Supreme HQ, Bandra	Studio Barre 57	Simonelle De Vitre	
Wednesday	7:15 PM	Supreme HQ, Bandra	Studio Back Body Blaze Express	Mrigakshi Jaiswal	
Wednesday	7:15 PM	Kwality House, Kemps Corner	Studio Mat 57	Pranjali Jain	
Wednesday	7:30 PM	Kwality House, Kemps Corner	Studio PowerCycle	Reshma Sharma	
Thursday	7:15 AM	Kwality House, Kemps Corner	Studio Strength Lab (Push)	Richard D'Costa	
Thursday	7:15 AM	Supreme HQ, Bandra	Studio FIT	Rohan Dahima	
Thursday	7:30 AM	Kwality House, Kemps Corner	Studio Mat 57 Express	Mrigakshi Jaiswal	
Thursday	8:00 AM	Kwality House, Kemps Corner	Studio PowerCycle	Vivaran Dhasmana	
Thursday	8:00 AM	Supreme HQ, Bandra	Studio PowerCycle	Anisha Shah	
Thursday	9:00 AM	Supreme HQ, Bandra	Studio Barre 57	Rohan Dahima	
Thursday	9:00 AM	Kwality House, Kemps Corner	Studio Strength Lab (Pull)	Mrigakshi Jaiswal	
Thursday	9:00 AM	Kwality House, Kemps Corner	Studio Barre 57	Richard D'Costa	
Thursday	9:30 AM	Kwality House, Kemps Corner	Studio PowerCycle	Vivaran Dhasmana	
Thursday	9:30 AM	Supreme HQ, Bandra	Studio Mat 57	Anisha Shah	
Thursday	10:15 AM	Kwality House, Kemps Corner	Studio Cardio Barre	Richard D'Costa	
Thursday	10:30 AM	Supreme HQ, Bandra	Studio PowerCycle Express	Rohan Dahima	
Thursday	11:00 AM	Supreme HQ, Bandra	Studio Cardio Barre	Anisha Shah	
Thursday	11:00 AM	Kwality House, Kemps Corner	Studio FIT	Vivaran Dhasmana	
Thursday	5:45 PM	Kwality House, Kemps Corner	Studio PowerCycle	Karan Bhatia	
Thursday	6:00 PM	Supreme HQ, Bandra	Studio PowerCycle	Anmol Sharma	
Thursday	6:15 PM	Kwality House, Kemps Corner	Studio Back Body Blaze Express	Atulan Purohit	
Thursday	6:15 PM	Supreme HQ, Bandra	Studio Barre 57	Cauveri Vikrant	
Thursday	7:15 PM	Kwality House, Kemps Corner	Studio PowerCycle	Karan Bhatia	
Thursday	7:15 PM	Kwality House, Kemps Corner	Studio Barre 57	Sovena	
Thursday	7:15 PM	Supreme HQ, Bandra	Studio PowerCycle	Anmol Sharma	
Thursday	7:30 PM	Supreme HQ, Bandra	Studio FIT	Cauveri Vikrant	
Thursday	7,15 PM	Kwality House, Kemps Corner	Studio Strength Lab (Push)	Atulan Purohit	
Friday	7:30 AM	Kwality House, Kemps Corner	Studio Back Body Blaze Express	Mrigakshi Jaiswal	
Friday	7:30 AM	Supreme HQ, Bandra	Studio Back Body Blaze	Atulan Purohit	
Friday	8:00 AM	Supreme HQ, Bandra	Studio PowerCycle	Raunak Khemuka	
Friday	8:30 AM	Kwality House, Kemps Corner	Studio PowerCycle	Bret Saldanha	
Friday	8:30 AM	Kwality House, Kemps Corner	Studio Barre 57	Richard D'Costa	
Friday	9:00 AM	Kwality House, Kemps Corner	Studio FIT	Mrigakshi Jaiswal	
Friday	9:00 AM	Supreme HQ, Bandra	Studio FIT	Atulan Purohit	
Friday	9:30 AM	Supreme HQ, Bandra	Studio Barre 57	Pranjali Jain	
Friday	10:00 AM	Kwality House, Kemps Corner	Studio PowerCycle	Bret Saldanha	
Friday	10:15 AM	Supreme HQ, Bandra	Studio Cardio Barre	Atulan Purohit	
Friday	11:00 AM	Supreme HQ, Bandra	Studio Mat 57	Pranjali Jain	
Friday	11:00 AM	Kwality House, Kemps Corner	Studio Strength Lab (Full Body)	Mrigakshi Jaiswal	
Friday	11:15 AM	Kwality House, Kemps Corner	Studio Cardio Barre	Richard D'Costa	
